Table,Row,Risk,StdErr,LowerCL,UpperCL,_SkipLine
Table any_phb * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_phb * e_any_dep,Difference,-0.1644,0.0056,-0.1754,-0.1535,1
Table any_phb * e_any_str,Row 1,0.4221,0.0008,0.4206,0.4236,
Table any_phb * e_any_str,Row 2,0.5444,0.0057,0.5333,0.5555,
Table any_phb * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_phb * e_any_str,Difference,-0.1223,0.0057,-0.1334,-0.1112,1
Table any_phb * e_any_anx,Row 1,0.2280,0.0006,0.2268,0.2292,
Table any_phb * e_any_anx,Row 2,0.3458,0.0054,0.3352,0.3564,
Table any_phb * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
Table any_phb * e_any_anx,Difference,-0.1178,0.0054,-0.1284,-0.1072,1
Table any_phb * e_any_phb,Row 1,0.0523,0.0003,0.0517,0.0530,
Table any_phb * e_any_phb,Row 2,0.0963,0.0034,0.0897,0.1029,
Table any_phb * e_any_phb,Total,0.0528,0.0003,0.0521,0.0534,
Table any_phb * e_any_phb,Difference,-0.0439,0.0034,-0.0505,-0.0373,1
Table any_phb * e_any_ptsd,Row 1,0.0441,0.0003,0.0435,0.0447,
Table any_phb * e_any_ptsd,Row 2,0.0649,0.0028,0.0595,0.0704,
Table any_phb * e_any_ptsd,Total,0.0443,0.0003,0.0437,0.0449,
Table any_phb * e_any_ptsd,Difference,-0.0208,0.0028,-0.0263,-0.0154,1
Table any_phb * e_any_som,Row 1,0.0225,0.0002,0.0221,0.0230,
Table any_phb * e_any_som,Row 2,0.0330,0.0020,0.0290,0.0369,
Table any_phb * e_any_som,Total,0.0226,0.0002,0.0222,0.0231,
Table any_phb * e_any_som,Difference,-0.0105,0.0020,-0.0144,-0.0065,1
Table any_phb * e_any_psy,Row 1,0.0367,0.0003,0.0362,0.0373,
Table any_phb * e_any_psy,Row 2,0.0663,0.0028,0.0608,0.0719,
Table any_phb * e_any_psy,Total,0.0370,0.0003,0.0365,0.0376,
Table any_phb * e_any_psy,Difference,-0.0296,0.0028,-0.0351,-0.0240,1
Table any_phb * e_any_oth,Row 1,0.3633,0.0007,0.3619,0.3648,
Table any_phb * e_any_oth,Row 2,0.4862,0.0057,0.4750,0.4973,
Table any_phb * e_any_oth,Total,0.3645,0.0007,0.3631,0.3660,
Table any_phb * e_any_oth,Difference,-0.1228,0.0057,-0.1340,-0.1117,1
Table any_phb * e_any_slp,Row 1,0.2709,0.0007,0.2696,0.2722,
Table any_phb * e_any_slp,Row 2,0.3818,0.0055,0.3710,0.3927,
Table any_phb * e_any_slp,Total,0.2720,0.0007,0.2707,0.2733,
Table any_phb * e_any_slp,Difference,-0.1109,0.0055,-0.1218,-0.1001,1
Table any_phb * e_any_sex,Row 1,0.0435,0.0003,0.0429,0.0441,
Table any_phb * e_any_sex,Row 2,0.0603,0.0027,0.0550,0.0656,
Table any_phb * e_any_sex,Total,0.0437,0.0003,0.0431,0.0443,
Table any_phb * e_any_sex,Difference,-0.0167,0.0027,-0.0221,-0.0114,1
Table any_phb * e_any_per,Row 1,0.0242,0.0002,0.0238,0.0247,
Table any_phb * e_any_per,Row 2,0.0420,0.0023,0.0375,0.0465,
Table any_phb * e_any_per,Total,0.0244,0.0002,0.0240,0.0249,
Table any_phb * e_any_per,Difference,-0.0178,0.0023,-0.0223,-0.0133,1
Table any_phb * e_any_sui,Row 1,0.0172,0.0002,0.0168,0.0175,
Table any_phb * e_any_sui,Row 2,0.0274,0.0018,0.0238,0.0311,
Table any_phb * e_any_sui,Total,0.0173,0.0002,0.0169,0.0176,
Table any_phb * e_any_sui,Difference,-0.0103,0.0018,-0.0139,-0.0066,1
Table any_ptsd * e_any_adhd,Row 1,0.0409,0.0003,0.0404,0.0415,
Table any_ptsd * e_any_adhd,Row 2,0.1127,0.0072,0.0986,0.1268,
Table any_ptsd * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_ptsd * e_any_adhd,Difference,-0.0718,0.0072,-0.0858,-0.0577,1
Table any_ptsd * e_any_sub,Row 1,0.0831,0.0004,0.0823,0.0838,
Table any_ptsd * e_any_sub,Row 2,0.2378,0.0097,0.2187,0.2568,
Table any_ptsd * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_ptsd * e_any_sub,Difference,-0.1547,0.0097,-0.1738,-0.1356,1
Table any_ptsd * e_any_dep,Row 1,0.4319,0.0008,0.4304,0.4334,
Table any_ptsd * e_any_dep,Row 2,0.7365,0.0101,0.7167,0.7564,
Table any_ptsd * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_ptsd * e_any_dep,Difference,-0.3046,0.0101,-0.3245,-0.2847,1
Table any_ptsd * e_any_str,Row 1,0.4226,0.0008,0.4211,0.4241,
Table any_ptsd * e_any_str,Row 2,0.7242,0.0102,0.7042,0.7441,
Table any_ptsd * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_ptsd * e_any_str,Difference,-0.3016,0.0102,-0.3216,-0.2816,1
Table any_ptsd * e_any_anx,Row 1,0.2287,0.0006,0.2275,0.2300,
Table any_ptsd * e_any_anx,Row 2,0.3959,0.0112,0.3740,0.4178,
Table any_ptsd * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
Table any_ptsd * e_any_anx,Difference,-0.1672,0.0112,-0.1891,-0.1453,1
Table any_ptsd * e_any_phb,Row 1,0.0527,0.0003,0.0520,0.0533,
Table any_ptsd * e_any_phb,Row 2,0.0944,0.0067,0.0813,0.1075,
Table any_ptsd * e_any_phb,Total,0.0528,0.0003,0.0521,0.0534,
Table any_ptsd * e_any_phb,Difference,-0.0417,0.0067,-0.0549,-0.0286,1
Table any_ptsd * e_any_ptsd,Row 1,0.0438,0.0003,0.0432,0.0444,
Table any_ptsd * e_any_ptsd,Row 2,0.2402,0.0099,0.2208,0.2596,
Table any_ptsd * e_any_ptsd,Total,0.0443,0.0003,0.0437,0.0449,
Table any_ptsd * e_any_ptsd,Difference,-0.1964,0.0099,-0.2158,-0.1770,1
Table any_ptsd * e_any_som,Row 1,0.0225,0.0002,0.0221,0.0230,
Table any_ptsd * e_any_som,Row 2,0.0484,0.0050,0.0387,0.0582,
Table any_ptsd * e_any_som,Total,0.0226,0.0002,0.0222,0.0231,
Table any_ptsd * e_any_som,Difference,-0.0259,0.0050,-0.0356,-0.0162,1
Table any_ptsd * e_any_psy,Row 1,0.0368,0.0003,0.0363,0.0374,
Table any_ptsd * e_any_psy,Row 2,0.1142,0.0073,0.1000,0.1284,
Table any_ptsd * e_any_psy,Total,0.0370,0.0003,0.0365,0.0376,
Table any_ptsd * e_any_psy,Difference,-0.0774,0.0073,-0.0916,-0.0631,1
Table any_ptsd * e_any_oth,Row 1,0.3640,0.0007,0.3626,0.3655,
Table any_ptsd * e_any_oth,Row 2,0.5655,0.0114,0.5432,0.5878,
Table any_ptsd * e_any_oth,Total,0.3645,0.0007,0.3631,0.3660,
Table any_ptsd * e_any_oth,Difference,-0.2015,0.0114,-0.2238,-0.1792,1
Table any_ptsd * e_any_slp,Row 1,0.2715,0.0007,0.2702,0.2728,
Table any_ptsd * e_any_slp,Row 2,0.4671,0.0114,0.4447,0.4896,
Table any_ptsd * e_any_slp,Total,0.2720,0.0007,0.2707,0.2733,
Table any_ptsd * e_any_slp,Difference,-0.1956,0.0114,-0.2181,-0.1732,1
Table any_ptsd * e_any_sex,Row 1,0.0436,0.0003,0.0430,0.0442,
Table any_ptsd * e_any_sex,Row 2,0.0835,0.0063,0.0713,0.0958,
Table any_ptsd * e_any_sex,Total,0.0437,0.0003,0.0431,0.0443,
Table any_ptsd * e_any_sex,Difference,-0.0399,0.0063,-0.0522,-0.0277,1
Table any_ptsd * e_any_per,Row 1,0.0243,0.0002,0.0238,0.0247,
Table any_ptsd * e_any_per,Row 2,0.0895,0.0068,0.0762,0.1028,
Table any_ptsd * e_any_per,Total,0.0244,0.0002,0.0240,0.0249,
Table any_ptsd * e_any_per,Difference,-0.0652,0.0068,-0.0785,-0.0519,1
Table any_ptsd * e_any_sui,Row 1,0.0171,0.0002,0.0168,0.0175,
Table any_ptsd * e_any_sui,Row 2,0.0840,0.0064,0.0715,0.0965,
Table any_ptsd * e_any_sui,Total,0.0173,0.0002,0.0169,0.0176,
Table any_ptsd * e_any_sui,Difference,-0.0669,0.0064,-0.0794,-0.0544,1
Table any_som * e_any_adhd,Row 1,0.0410,0.0003,0.0405,0.0416,
Table any_som * e_any_adhd,Row 2,0.0695,0.0049,0.0598,0.0791,
Table any_som * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_som * e_any_adhd,Difference,-0.0284,0.0049,-0.0381,-0.0188,1
Table any_som * e_any_sub,Row 1,0.0833,0.0004,0.0825,0.0841,
Table any_som * e_any_sub,Row 2,0.1285,0.0065,0.1158,0.1411,
Table any_som * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_som * e_any_sub,Difference,-0.0451,0.0065,-0.0578,-0.0325,1
Table any_som * e_any_dep,Row 1,0.4323,0.0008,0.4308,0.4338,
Table any_som * e_any_dep,Row 2,0.5612,0.0096,0.5424,0.5801,
Table any_som * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_som * e_any_dep,Difference,-0.1290,0.0096,-0.1478,-0.1101,1
Table any_som * e_any_str,Row 1,0.4229,0.0008,0.4214,0.4244,
Table any_som * e_any_str,Row 2,0.5463,0.0096,0.5274,0.5652,
Table any_som * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_som * e_any_str,Difference,-0.1234,0.0097,-0.1423,-0.1045,1
Table any_som * e_any_anx,Row 1,0.2288,0.0006,0.2276,0.2301,
Table any_som * e_any_anx,Row 2,0.3290,0.0091,0.3111,0.3468,
Table any_som * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
Table any_som * e_any_anx,Difference,-0.1002,0.0091,-0.1180,-0.0823,1
Table any_som * e_any_phb,Row 1,0.0527,0.0003,0.0520,0.0533,
Table any_som * e_any_phb,Row 2,0.0822,0.0053,0.0717,0.0926,
Table any_som * e_any_phb,Total,0.0528,0.0003,0.0521,0.0534,
Table any_som * e_any_phb,Difference,-0.0295,0.0053,-0.0399,-0.0190,1
Table any_som * e_any_ptsd,Row 1,0.0442,0.0003,0.0436,0.0448,
Table any_som * e_any_ptsd,Row 2,0.0851,0.0054,0.0745,0.0958,
Table any_som * e_any_ptsd,Total,0.0443,0.0003,0.0437,0.0449,
Table any_som * e_any_ptsd,Difference,-0.0410,0.0054,-0.0516,-0.0303,1
Table any_som * e_any_som,Row 1,0.0225,0.0002,0.0221,0.0230,
Table any_som * e_any_som,Row 2,0.0504,0.0043,0.0420,0.0588,
Table any_som * e_any_som,Total,0.0226,0.0002,0.0222,0.0231,
Table any_som * e_any_som,Difference,-0.0279,0.0043,-0.0363,-0.0195,1
Table any_som * e_any_psy,Row 1,0.0369,0.0003,0.0364,0.0375,
Table any_som * e_any_psy,Row 2,0.0635,0.0047,0.0542,0.0727,
Table any_som * e_any_psy,Total,0.0370,0.0003,0.0365,0.0376,
Table any_som * e_any_psy,Difference,-0.0266,0.0047,-0.0358,-0.0173,1
Table any_som * e_any_oth,Row 1,0.3642,0.0007,0.3627,0.3656,
Table any_som * e_any_oth,Row 2,0.4757,0.0097,0.4568,0.4947,
Table any_som * e_any_oth,Total,0.3645,0.0007,0.3631,0.3660,
Table any_som * e_any_oth,Difference,-0.1116,0.0097,-0.1306,-0.0926,1
Table any_som * e_any_slp,Row 1,0.2717,0.0007,0.2704,0.2730,
Table any_som * e_any_slp,Row 2,0.3641,0.0093,0.3458,0.3824,
Table any_som * e_any_slp,Total,0.2720,0.0007,0.2707,0.2733,
Table any_som * e_any_slp,Difference,-0.0924,0.0093,-0.1107,-0.0741,1
Table any_som * e_any_sex,Row 1,0.0436,0.0003,0.0430,0.0442,
Table any_som * e_any_sex,Row 2,0.0657,0.0048,0.0563,0.0752,
Table any_som * e_any_sex,Total,0.0437,0.0003,0.0431,0.0443,
Table any_som * e_any_sex,Difference,-0.0221,0.0048,-0.0315,-0.0127,1
Table any_som * e_any_per,Row 1,0.0243,0.0002,0.0239,0.0248,
Table any_som * e_any_per,Row 2,0.0463,0.0041,0.0383,0.0543,
Table any_som * e_any_per,Total,0.0244,0.0002,0.0240,0.0249,
Table any_som * e_any_per,Difference,-0.0220,0.0041,-0.0299,-0.0140,1
Table any_som * e_any_sui,Row 1,0.0172,0.0002,0.0169,0.0176,
Table any_som * e_any_sui,Row 2,0.0291,0.0032,0.0228,0.0355,
Table any_som * e_any_sui,Total,0.0173,0.0002,0.0169,0.0176,
Table any_som * e_any_sui,Difference,-0.0119,0.0032,-0.0183,-0.0055,1
Table any_psy * e_any_adhd,Row 1,0.0410,0.0003,0.0405,0.0416,
Table any_psy * e_any_adhd,Row 2,0.1037,0.0081,0.0878,0.1196,
Table any_psy * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_psy * e_any_adhd,Difference,-0.0626,0.0081,-0.0785,-0.0467,1
Table any_psy * e_any_sub,Row 1,0.0833,0.0004,0.0825,0.0841,
Table any_psy * e_any_sub,Row 2,0.1707,0.0100,0.1512,0.1902,
Table any_psy * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_psy * e_any_sub,Difference,-0.0874,0.0100,-0.1069,-0.0679,1
Table any_psy * e_any_dep,Row 1,0.4323,0.0008,0.4308,0.4337,
Table any_psy * e_any_dep,Row 2,0.6780,0.0124,0.6537,0.7022,
Table any_psy * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_psy * e_any_dep,Difference,-0.2457,0.0124,-0.2699,-0.2215,1
Table any_psy * e_any_str,Row 1,0.4229,0.0008,0.4214,0.4244,
Table any_psy * e_any_str,Row 2,0.6462,0.0127,0.6213,0.6710,
Table any_psy * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_psy * e_any_str,Difference,-0.2232,0.0127,-0.2481,-0.1984,1
Table any_psy * e_any_anx,Row 1,0.2289,0.0006,0.2276,0.2301,
Table any_psy * e_any_anx,Row 2,0.3718,0.0128,0.3467,0.3969,
Table any_psy * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
Table any_psy * e_any_anx,Difference,-0.1429,0.0128,-0.1680,-0.1178,1
Table any_psy * e_any_phb,Row 1,0.0527,0.0003,0.0521,0.0534,
Table any_psy * e_any_phb,Row 2,0.0871,0.0075,0.0724,0.1017,
Table any_psy * e_any_phb,Total,0.0528,0.0003,0.0521,0.0534,
Table any_psy * e_any_phb,Difference,-0.0344,0.0075,-0.0490,-0.0197,1
Table any_psy * e_any_ptsd,Row 1,0.0442,0.0003,0.0436,0.0448,
Table any_psy * e_any_ptsd,Row 2,0.1030,0.0080,0.0873,0.1186,
Table any_psy * e_any_ptsd,Total,0.0443,0.0003,0.0437,0.0449,
Table any_psy * e_any_ptsd,Difference,-0.0588,0.0080,-0.0744,-0.0431,1
Table any_psy * e_any_som,Row 1,0.0226,0.0002,0.0221,0.0230,
Table any_psy * e_any_som,Row 2,0.0366,0.0049,0.0269,0.0463,
Table any_psy * e_any_som,Total,0.0226,0.0002,0.0222,0.0231,
Table any_psy * e_any_som,Difference,-0.0140,0.0049,-0.0237,-0.0044,1
Table any_psy * e_any_psy,Row 1,0.0368,0.0003,0.0363,0.0374,
Table any_psy * e_any_psy,Row 2,0.1437,0.0093,0.1255,0.1620,
Table any_psy * e_any_psy,Total,0.0370,0.0003,0.0365,0.0376,
Table any_psy * e_any_psy,Difference,-0.1069,0.0093,-0.1251,-0.0887,1
Table any_psy * e_any_oth,Row 1,0.3642,0.0007,0.3627,0.3656,
Table any_psy * e_any_oth,Row 2,0.5473,0.0132,0.5215,0.5732,
Table any_psy * e_any_oth,Total,0.3645,0.0007,0.3631,0.3660,
Table any_psy * e_any_oth,Difference,-0.1831,0.0132,-0.2090,-0.1573,1
Table any_psy * e_any_slp,Row 1,0.2717,0.0007,0.2704,0.2730,
Table any_psy * e_any_slp,Row 2,0.4416,0.0131,0.4159,0.4673,
Table any_psy * e_any_slp,Total,0.2720,0.0007,0.2707,0.2733,
Table any_psy * e_any_slp,Difference,-0.1699,0.0131,-0.1957,-0.1442,1
Table any_psy * e_any_sex,Row 1,0.0437,0.0003,0.0431,0.0443,
Table any_psy * e_any_sex,Row 2,0.0670,0.0068,0.0538,0.0803,
Table any_psy * e_any_sex,Total,0.0437,0.0003,0.0431,0.0443,
Table any_psy * e_any_sex,Difference,-0.0234,0.0068,-0.0366,-0.0101,1
Table any_psy * e_any_per,Row 1,0.0244,0.0002,0.0239,0.0248,
Table any_psy * e_any_per,Row 2,0.0587,0.0064,0.0462,0.0713,
Table any_psy * e_any_per,Total,0.0244,0.0002,0.0240,0.0249,
Table any_psy * e_any_per,Difference,-0.0344,0.0064,-0.0469,-0.0219,1
Table any_psy * e_any_sui,Row 1,0.0172,0.0002,0.0169,0.0176,
Table any_psy * e_any_sui,Row 2,0.0422,0.0054,0.0316,0.0527,
Table any_psy * e_any_sui,Total,0.0173,0.0002,0.0169,0.0176,
Table any_psy * e_any_sui,Difference,-0.0249,0.0054,-0.0354,-0.0144,1
Table any_oth * e_any_adhd,Row 1,0.0393,0.0003,0.0387,0.0398,
Table any_oth * e_any_adhd,Row 2,0.0861,0.0016,0.0829,0.0893,
Table any_oth * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_oth * e_any_adhd,Difference,-0.0468,0.0016,-0.0501,-0.0436,1
Table any_oth * e_any_sub,Row 1,0.0811,0.0004,0.0803,0.0819,
Table any_oth * e_any_sub,Row 2,0.1404,0.0020,0.1365,0.1444,
Table any_oth * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_oth * e_any_sub,Difference,-0.0593,0.0020,-0.0633,-0.0554,1
Table any_oth * e_any_dep,Row 1,0.4249,0.0008,0.4234,0.4264,
Table any_oth * e_any_dep,Row 2,0.6210,0.0028,0.6155,0.6264,
Table any_oth * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_oth * e_any_dep,Difference,-0.1961,0.0028,-0.2017,-0.1906,1
Table any_oth * e_any_str,Row 1,0.4174,0.0008,0.4159,0.4189,
Table any_oth * e_any_str,Row 2,0.5651,0.0029,0.5595,0.5707,
Table any_oth * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_oth * e_any_str,Difference,-0.1477,0.0029,-0.1534,-0.1420,1
Table any_oth * e_any_anx,Row 1,0.2247,0.0006,0.2235,0.2260,
Table any_oth * e_any_anx,Row 2,0.3352,0.0027,0.3298,0.3405,
Table any_oth * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
Table any_oth * e_any_anx,Difference,-0.1104,0.0028,-0.1158,-0.1051,1
Table any_oth * e_any_phb,Row 1,0.0516,0.0003,0.0509,0.0522,
Table any_oth * e_any_phb,Row 2,0.0816,0.0016,0.0785,0.0847,
Table any_oth * e_any_phb,Total,0.0528,0.0003,0.0521,0.0534,
Table any_oth * e_any_phb,Difference,-0.0300,0.0016,-0.0331,-0.0269,1
Table any_oth * e_any_ptsd,Row 1,0.0426,0.0003,0.0420,0.0432,
Table any_oth * e_any_ptsd,Row 2,0.0843,0.0016,0.0811,0.0875,
Table any_oth * e_any_ptsd,Total,0.0443,0.0003,0.0437,0.0449,
Table any_oth * e_any_ptsd,Difference,-0.0417,0.0016,-0.0449,-0.0385,1
Table any_oth * e_any_som,Row 1,0.0221,0.0002,0.0217,0.0226,
Table any_oth * e_any_som,Row 2,0.0346,0.0011,0.0325,0.0367,
Table any_oth * e_any_som,Total,0.0226,0.0002,0.0222,0.0231,
Table any_oth * e_any_som,Difference,-0.0124,0.0011,-0.0145,-0.0103,1
Table any_oth * e_any_psy,Row 1,0.0353,0.0003,0.0347,0.0358,
Table any_oth * e_any_psy,Row 2,0.0789,0.0016,0.0758,0.0819,
Table any_oth * e_any_psy,Total,0.0370,0.0003,0.0365,0.0376,
Table any_oth * e_any_psy,Difference,-0.0436,0.0016,-0.0466,-0.0405,1
Table any_oth * e_any_oth,Row 1,0.3577,0.0007,0.3562,0.3591,
Table any_oth * e_any_oth,Row 2,0.5290,0.0029,0.5233,0.5346,
Table any_oth * e_any_oth,Total,0.3645,0.0007,0.3631,0.3660,
Table any_oth * e_any_oth,Difference,-0.1713,0.0029,-0.1770,-0.1656,1
Table any_oth * e_any_slp,Row 1,0.2669,0.0007,0.2656,0.2683,
Table any_oth * e_any_slp,Row 2,0.3932,0.0028,0.3876,0.3987,
Table any_oth * e_any_slp,Total,0.2720,0.0007,0.2707,0.2733,
Table any_oth * e_any_slp,Difference,-0.1262,0.0028,-0.1318,-0.1207,1
Table any_oth * e_any_sex,Row 1,0.0428,0.0003,0.0422,0.0434,
Table any_oth * e_any_sex,Row 2,0.0648,0.0014,0.0620,0.0677,
Table any_oth * e_any_sex,Total,0.0437,0.0003,0.0431,0.0443,
Table any_oth * e_any_sex,Difference,-0.0220,0.0014,-0.0248,-0.0192,1
Table any_oth * e_any_per,Row 1,0.0232,0.0002,0.0227,0.0236,
Table any_oth * e_any_per,Row 2,0.0543,0.0013,0.0517,0.0569,
Table any_oth * e_any_per,Total,0.0244,0.0002,0.0240,0.0249,
Table any_oth * e_any_per,Difference,-0.0311,0.0013,-0.0337,-0.0285,1
Table any_oth * e_any_sui,Row 1,0.0165,0.0002,0.0161,0.0168,
Table any_oth * e_any_sui,Row 2,0.0370,0.0011,0.0348,0.0392,
Table any_oth * e_any_sui,Total,0.0173,0.0002,0.0169,0.0176,
Table any_oth * e_any_sui,Difference,-0.0205,0.0011,-0.0227,-0.0184,1
Table any_slp * e_any_adhd,Row 1,0.0385,0.0003,0.0379,0.0390,
Table any_slp * e_any_adhd,Row 2,0.0874,0.0014,0.0846,0.0902,
Table any_slp * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_slp * e_any_adhd,Difference,-0.0489,0.0014,-0.0517,-0.0461,1
Table any_slp * e_any_sub,Row 1,0.0804,0.0004,0.0796,0.0812,
Table any_slp * e_any_sub,Row 2,0.1362,0.0017,0.1328,0.1396,
Table any_slp * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_slp * e_any_sub,Difference,-0.0558,0.0017,-0.0592,-0.0524,1
Table any_slp * e_any_dep,Row 1,0.4229,0.0008,0.4214,0.4245,
Table any_slp * e_any_dep,Row 2,0.6021,0.0025,0.5973,0.6069,
Table any_slp * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_slp * e_any_dep,Difference,-0.1792,0.0025,-0.1840,-0.1743,1
Table any_slp * e_any_str,Row 1,0.4160,0.0008,0.4145,0.4175,
Table any_slp * e_any_str,Row 2,0.5500,0.0025,0.5451,0.5549,
Table any_slp * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_slp * e_any_str,Difference,-0.1340,0.0025,-0.1389,-0.1290,1
Table any_slp * e_any_anx,Row 1,0.2233,0.0006,0.2220,0.2245,
Table any_slp * e_any_anx,Row 2,0.3316,0.0024,0.3269,0.3362,
Table any_slp * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
Table any_slp * e_any_anx,Difference,-0.1083,0.0024,-0.1130,-0.1036,1
Table any_slp * e_any_phb,Row 1,0.0511,0.0003,0.0505,0.0518,
Table any_slp * e_any_phb,Row 2,0.0815,0.0014,0.0788,0.0842,
Table any_slp * e_any_phb,Total,0.0528,0.0003,0.0521,0.0534,
Table any_slp * e_any_phb,Difference,-0.0304,0.0014,-0.0331,-0.0277,1
Table any_slp * e_any_ptsd,Row 1,0.0424,0.0003,0.0418,0.0430,
Table any_slp * e_any_ptsd,Row 2,0.0768,0.0013,0.0742,0.0795,
Table any_slp * e_any_ptsd,Total,0.0443,0.0003,0.0437,0.0449,
Table any_slp * e_any_ptsd,Difference,-0.0344,0.0013,-0.0370,-0.0318,1
Table any_slp * e_any_som,Row 1,0.0219,0.0002,0.0215,0.0223,
Table any_slp * e_any_som,Row 2,0.0350,0.0009,0.0332,0.0369,
Table any_slp * e_any_som,Total,0.0226,0.0002,0.0222,0.0231,
Table any_slp * e_any_som,Difference,-0.0131,0.0009,-0.0150,-0.0113,1
Table any_slp * e_any_psy,Row 1,0.0353,0.0003,0.0347,0.0358,
Table any_slp * e_any_psy,Row 2,0.0674,0.0013,0.0649,0.0699,
Table any_slp * e_any_psy,Total,0.0370,0.0003,0.0365,0.0376,
Table any_slp * e_any_psy,Difference,-0.0321,0.0013,-0.0346,-0.0297,1
Table any_slp * e_any_oth,Row 1,0.3572,0.0007,0.3557,0.3587,
Table any_slp * e_any_oth,Row 2,0.4918,0.0025,0.4869,0.4967,
Table any_slp * e_any_oth,Total,0.3645,0.0007,0.3631,0.3660,
Table any_slp * e_any_oth,Difference,-0.1346,0.0025,-0.1396,-0.1296,1
Table any_slp * e_any_slp,Row 1,0.2624,0.0007,0.2610,0.2637,
Table any_slp * e_any_slp,Row 2,0.4391,0.0025,0.4342,0.4440,
Table any_slp * e_any_slp,Total,0.2720,0.0007,0.2707,0.2733,
Table any_slp * e_any_slp,Difference,-0.1768,0.0025,-0.1817,-0.1719,1
Table any_slp * e_any_sex,Row 1,0.0428,0.0003,0.0422,0.0434,
Table any_slp * e_any_sex,Row 2,0.0601,0.0012,0.0577,0.0624,
Table any_slp * e_any_sex,Total,0.0437,0.0003,0.0431,0.0443,
Table any_slp * e_any_sex,Difference,-0.0173,0.0012,-0.0197,-0.0149,1
Table any_slp * e_any_per,Row 1,0.0233,0.0002,0.0229,0.0237,
Table any_slp * e_any_per,Row 2,0.0440,0.0010,0.0420,0.0460,
Table any_slp * e_any_per,Total,0.0244,0.0002,0.0240,0.0249,
Table any_slp * e_any_per,Difference,-0.0207,0.0010,-0.0227,-0.0187,1
Table any_slp * e_any_sui,Row 1,0.0163,0.0002,0.0159,0.0167,
Table any_slp * e_any_sui,Row 2,0.0344,0.0009,0.0326,0.0362,
Table any_slp * e_any_sui,Total,0.0173,0.0002,0.0169,0.0176,
Table any_slp * e_any_sui,Difference,-0.0181,0.0009,-0.0199,-0.0163,1
Table any_sex * e_any_adhd,Row 1,0.0411,0.0003,0.0405,0.0416,
Table any_sex * e_any_adhd,Row 2,0.0804,0.0083,0.0642,0.0966,
Table any_sex * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_sex * e_any_adhd,Difference,-0.0393,0.0083,-0.0555,-0.0231,1
Table any_sex * e_any_sub,Row 1,0.0834,0.0004,0.0826,0.0842,
Table any_sex * e_any_sub,Row 2,0.1312,0.0103,0.1110,0.1515,
Table any_sex * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_sex * e_any_sub,Difference,-0.0478,0.0103,-0.0681,-0.0276,1
Table any_sex * e_any_dep,Row 1,0.4325,0.0008,0.4310,0.4340,
Table any_sex * e_any_dep,Row 2,0.5980,0.0149,0.5687,0.6273,
Table any_sex * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_sex * e_any_dep,Difference,-0.1655,0.0150,-0.1948,-0.1362,1
Table any_sex * e_any_str,Row 1,0.4231,0.0008,0.4217,0.4246,
Table any_sex * e_any_str,Row 2,0.5471,0.0152,0.5174,0.5769,
Table any_sex * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_sex * e_any_str,Difference,-0.1240,0.0152,-0.1537,-0.0942,1
Table any_sex * e_any_anx,Row 1,0.2290,0.0006,0.2278,0.2303,
Table any_sex * e_any_anx,Row 2,0.3059,0.0141,0.2783,0.3335,
Table any_sex * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
