Table,Row,Risk,ASE,LowerCL,UpperCL,ExactLowerCL,ExactUpperCL,Control
Table m_any_anx * f_any_per,Row 2,0.0331,0.0006,0.0318,0.0343,0.0318,0.0344,
Table m_any_anx * f_any_per,Total,0.0142,0.0001,0.0140,0.0145,0.0140,0.0145,
Table m_any_anx * f_any_per,Difference,-0.0208,0.0007,-0.0221,-0.0195,_,_,1
Table m_any_anx * f_any_sui,Row 1,0.0082,0.0001,0.0080,0.0084,0.0080,0.0084,
Table m_any_anx * f_any_sui,Row 2,0.0225,0.0005,0.0214,0.0235,0.0215,0.0235,
Table m_any_anx * f_any_sui,Total,0.0095,0.0001,0.0093,0.0097,0.0093,0.0097,
Table m_any_anx * f_any_sui,Difference,-0.0143,0.0005,-0.0154,-0.0133,_,_,1
Table m_any_phb * f_any_adhd,Row 1,0.0177,0.0001,0.0174,0.0180,0.0174,0.0180,
Table m_any_phb * f_any_adhd,Row 2,0.0488,0.0016,0.0456,0.0519,0.0457,0.0520,
Table m_any_phb * f_any_adhd,Total,0.0184,0.0001,0.0181,0.0187,0.0181,0.0187,
Table m_any_phb * f_any_adhd,Difference,-0.0311,0.0016,-0.0342,-0.0279,_,_,1
Table m_any_phb * f_any_sub,Row 1,0.0501,0.0002,0.0496,0.0506,0.0496,0.0506,
Table m_any_phb * f_any_sub,Row 2,0.1139,0.0024,0.1093,0.1186,0.1093,0.1187,
Table m_any_phb * f_any_sub,Total,0.0515,0.0002,0.0510,0.0519,0.0510,0.0519,
Table m_any_phb * f_any_sub,Difference,-0.0638,0.0024,-0.0685,-0.0591,_,_,1
Table m_any_phb * f_any_dep,Row 1,0.3321,0.0005,0.3311,0.3332,0.3311,0.3332,
Table m_any_phb * f_any_dep,Row 2,0.4625,0.0037,0.4552,0.4698,0.4552,0.4698,
Table m_any_phb * f_any_dep,Total,0.3349,0.0005,0.3339,0.3359,0.3339,0.3359,
Table m_any_phb * f_any_dep,Difference,-0.1304,0.0038,-0.1377,-0.1230,_,_,1
Table m_any_phb * f_any_str,Row 1,0.3190,0.0005,0.3180,0.3200,0.3180,0.3200,
Table m_any_phb * f_any_str,Row 2,0.3957,0.0036,0.3886,0.4028,0.3885,0.4029,
Table m_any_phb * f_any_str,Total,0.3207,0.0005,0.3197,0.3217,0.3197,0.3217,
Table m_any_phb * f_any_str,Difference,-0.0767,0.0037,-0.0839,-0.0694,_,_,1
Table m_any_phb * f_any_anx,Row 1,0.1659,0.0004,0.1651,0.1667,0.1651,0.1667,
Table m_any_phb * f_any_anx,Row 2,0.2830,0.0034,0.2764,0.2896,0.2764,0.2896,
Table m_any_phb * f_any_anx,Total,0.1684,0.0004,0.1676,0.1692,0.1676,0.1692,
Table m_any_phb * f_any_anx,Difference,-0.1171,0.0034,-0.1237,-0.1105,_,_,1
Table m_any_phb * f_any_phb,Row 1,0.0333,0.0002,0.0329,0.0337,0.0329,0.0337,
Table m_any_phb * f_any_phb,Row 2,0.0735,0.0019,0.0697,0.0773,0.0697,0.0774,
Table m_any_phb * f_any_phb,Total,0.0341,0.0002,0.0337,0.0345,0.0337,0.0345,
Table m_any_phb * f_any_phb,Difference,-0.0402,0.0020,-0.0441,-0.0364,_,_,1
Table m_any_phb * f_any_ptsd,Row 1,0.0275,0.0002,0.0272,0.0279,0.0272,0.0279,
Table m_any_phb * f_any_ptsd,Row 2,0.0600,0.0018,0.0565,0.0635,0.0566,0.0636,
Table m_any_phb * f_any_ptsd,Total,0.0282,0.0002,0.0279,0.0286,0.0279,0.0286,
Table m_any_phb * f_any_ptsd,Difference,-0.0325,0.0018,-0.0359,-0.0290,_,_,1
Table m_any_phb * f_any_som,Row 1,0.0132,0.0001,0.0130,0.0135,0.0130,0.0135,
Table m_any_phb * f_any_som,Row 2,0.0184,0.0010,0.0164,0.0204,0.0165,0.0205,
Table m_any_phb * f_any_som,Total,0.0133,0.0001,0.0131,0.0136,0.0131,0.0136,
Table m_any_phb * f_any_som,Difference,-0.0052,0.0010,-0.0072,-0.0032,_,_,1
Table m_any_phb * f_any_psy,Row 1,0.0249,0.0002,0.0246,0.0253,0.0246,0.0253,
Table m_any_phb * f_any_psy,Row 2,0.0584,0.0017,0.0550,0.0618,0.0550,0.0619,
Table m_any_phb * f_any_psy,Total,0.0257,0.0002,0.0253,0.0260,0.0253,0.0260,
Table m_any_phb * f_any_psy,Difference,-0.0334,0.0018,-0.0369,-0.0300,_,_,1
Table m_any_phb * f_any_oth,Row 1,0.2544,0.0005,0.2535,0.2553,0.2535,0.2553,
Table m_any_phb * f_any_oth,Row 2,0.3345,0.0035,0.3276,0.3414,0.3276,0.3414,
Table m_any_phb * f_any_oth,Total,0.2561,0.0005,0.2552,0.2570,0.2552,0.2570,
Table m_any_phb * f_any_oth,Difference,-0.0801,0.0036,-0.0870,-0.0731,_,_,1
Table m_any_phb * f_any_slp,Row 1,0.2053,0.0004,0.2045,0.2062,0.2045,0.2062,
Table m_any_phb * f_any_slp,Row 2,0.2760,0.0033,0.2695,0.2826,0.2695,0.2826,
Table m_any_phb * f_any_slp,Total,0.2068,0.0004,0.2060,0.2077,0.2060,0.2077,
Table m_any_phb * f_any_slp,Difference,-0.0707,0.0034,-0.0773,-0.0641,_,_,1
Table m_any_phb * f_any_sex,Row 1,0.0030,0.0001,0.0028,0.0031,0.0028,0.0031,
Table m_any_phb * f_any_sex,Row 2,0.0044,0.0005,0.0035,0.0054,0.0035,0.0055,
Table m_any_phb * f_any_sex,Total,0.0030,0.0001,0.0029,0.0031,0.0029,0.0031,
Table m_any_phb * f_any_sex,Difference,-0.0015,0.0005,-0.0025,-0.0005,_,_,1
Table m_any_phb * f_any_per,Row 1,0.0137,0.0001,0.0135,0.0140,0.0135,0.0140,
Table m_any_phb * f_any_per,Row 2,0.0372,0.0014,0.0344,0.0400,0.0345,0.0401,
Table m_any_phb * f_any_per,Total,0.0142,0.0001,0.0140,0.0145,0.0140,0.0145,
Table m_any_phb * f_any_per,Difference,-0.0235,0.0014,-0.0262,-0.0207,_,_,1
Table m_any_phb * f_any_sui,Row 1,0.0092,0.0001,0.0089,0.0094,0.0089,0.0094,
Table m_any_phb * f_any_sui,Row 2,0.0248,0.0012,0.0225,0.0271,0.0226,0.0272,
Table m_any_phb * f_any_sui,Total,0.0095,0.0001,0.0093,0.0097,0.0093,0.0097,
Table m_any_phb * f_any_sui,Difference,-0.0156,0.0012,-0.0179,-0.0134,_,_,1
Table m_any_ptsd * f_any_adhd,Row 1,0.0180,0.0001,0.0177,0.0183,0.0177,0.0183,
Table m_any_ptsd * f_any_adhd,Row 2,0.0540,0.0024,0.0492,0.0587,0.0493,0.0589,
Table m_any_ptsd * f_any_adhd,Total,0.0184,0.0001,0.0181,0.0187,0.0181,0.0187,
Table m_any_ptsd * f_any_adhd,Difference,-0.0360,0.0024,-0.0407,-0.0312,_,_,1
Table m_any_ptsd * f_any_sub,Row 1,0.0507,0.0002,0.0503,0.0512,0.0503,0.0512,
Table m_any_ptsd * f_any_sub,Row 2,0.1215,0.0035,0.1147,0.1284,0.1148,0.1286,
Table m_any_ptsd * f_any_sub,Total,0.0515,0.0002,0.0510,0.0519,0.0510,0.0519,
Table m_any_ptsd * f_any_sub,Difference,-0.0708,0.0035,-0.0777,-0.0639,_,_,1
Table m_any_ptsd * f_any_dep,Row 1,0.3332,0.0005,0.3322,0.3342,0.3322,0.3342,
Table m_any_ptsd * f_any_dep,Row 2,0.5010,0.0053,0.4906,0.5115,0.4905,0.5116,
Table m_any_ptsd * f_any_dep,Total,0.3349,0.0005,0.3339,0.3359,0.3339,0.3359,
Table m_any_ptsd * f_any_dep,Difference,-0.1679,0.0054,-0.1784,-0.1573,_,_,1
Table m_any_ptsd * f_any_str,Row 1,0.3193,0.0005,0.3183,0.3203,0.3183,0.3203,
Table m_any_ptsd * f_any_str,Row 2,0.4543,0.0053,0.4438,0.4647,0.4438,0.4648,
Table m_any_ptsd * f_any_str,Total,0.3207,0.0005,0.3197,0.3217,0.3197,0.3217,
Table m_any_ptsd * f_any_str,Difference,-0.1350,0.0053,-0.1455,-0.1245,_,_,1
Table m_any_ptsd * f_any_anx,Row 1,0.1672,0.0004,0.1664,0.1680,0.1664,0.1680,
Table m_any_ptsd * f_any_anx,Row 2,0.2826,0.0048,0.2732,0.2921,0.2732,0.2922,
Table m_any_ptsd * f_any_anx,Total,0.1684,0.0004,0.1676,0.1692,0.1676,0.1692,
Table m_any_ptsd * f_any_anx,Difference,-0.1155,0.0048,-0.1249,-0.1060,_,_,1
Table m_any_ptsd * f_any_phb,Row 1,0.0339,0.0002,0.0335,0.0342,0.0335,0.0342,
Table m_any_ptsd * f_any_phb,Row 2,0.0601,0.0025,0.0552,0.0651,0.0552,0.0653,
Table m_any_ptsd * f_any_phb,Total,0.0341,0.0002,0.0337,0.0345,0.0337,0.0345,
Table m_any_ptsd * f_any_phb,Difference,-0.0263,0.0025,-0.0313,-0.0213,_,_,1
Table m_any_ptsd * f_any_ptsd,Row 1,0.0276,0.0002,0.0272,0.0279,0.0272,0.0279,
Table m_any_ptsd * f_any_ptsd,Row 2,0.0917,0.0031,0.0857,0.0977,0.0857,0.0979,
Table m_any_ptsd * f_any_ptsd,Total,0.0282,0.0002,0.0279,0.0286,0.0279,0.0286,
Table m_any_ptsd * f_any_ptsd,Difference,-0.0641,0.0031,-0.0702,-0.0581,_,_,1
Table m_any_ptsd * f_any_som,Row 1,0.0133,0.0001,0.0130,0.0135,0.0130,0.0135,
Table m_any_ptsd * f_any_som,Row 2,0.0209,0.0015,0.0179,0.0239,0.0180,0.0241,
Table m_any_ptsd * f_any_som,Total,0.0133,0.0001,0.0131,0.0136,0.0131,0.0136,
Table m_any_ptsd * f_any_som,Difference,-0.0077,0.0015,-0.0107,-0.0047,_,_,1
Table m_any_ptsd * f_any_psy,Row 1,0.0253,0.0002,0.0250,0.0256,0.0250,0.0256,
Table m_any_ptsd * f_any_psy,Row 2,0.0611,0.0026,0.0560,0.0661,0.0561,0.0663,
Table m_any_ptsd * f_any_psy,Total,0.0257,0.0002,0.0253,0.0260,0.0253,0.0260,
Table m_any_ptsd * f_any_psy,Difference,-0.0358,0.0026,-0.0408,-0.0307,_,_,1
Table m_any_ptsd * f_any_oth,Row 1,0.2550,0.0005,0.2541,0.2559,0.2541,0.2559,
Table m_any_ptsd * f_any_oth,Row 2,0.3614,0.0051,0.3514,0.3715,0.3513,0.3716,
Table m_any_ptsd * f_any_oth,Total,0.2561,0.0005,0.2552,0.2570,0.2552,0.2570,
Table m_any_ptsd * f_any_oth,Difference,-0.1064,0.0052,-0.1165,-0.0963,_,_,1
Table m_any_ptsd * f_any_slp,Row 1,0.2059,0.0004,0.2051,0.2068,0.2051,0.2068,
Table m_any_ptsd * f_any_slp,Row 2,0.2945,0.0049,0.2850,0.3041,0.2850,0.3042,
Table m_any_ptsd * f_any_slp,Total,0.2068,0.0004,0.2060,0.2077,0.2060,0.2077,
Table m_any_ptsd * f_any_slp,Difference,-0.0886,0.0049,-0.0982,-0.0790,_,_,1
Table m_any_ptsd * f_any_sex,Row 1,0.0030,0.0001,0.0029,0.0031,0.0029,0.0031,
Table m_any_ptsd * f_any_sex,Row 2,0.0038,0.0007,0.0025,0.0051,0.0026,0.0053,
Table m_any_ptsd * f_any_sex,Total,0.0030,0.0001,0.0029,0.0031,0.0029,0.0031,
Table m_any_ptsd * f_any_sex,Difference,-0.0008,0.0007,-0.0021,0.0005,_,_,1
Table m_any_ptsd * f_any_per,Row 1,0.0139,0.0001,0.0137,0.0142,0.0137,0.0142,
Table m_any_ptsd * f_any_per,Row 2,0.0436,0.0022,0.0393,0.0478,0.0394,0.0481,
Table m_any_ptsd * f_any_per,Total,0.0142,0.0001,0.0140,0.0145,0.0140,0.0145,
Table m_any_ptsd * f_any_per,Difference,-0.0296,0.0022,-0.0339,-0.0254,_,_,1
Table m_any_ptsd * f_any_sui,Row 1,0.0093,0.0001,0.0091,0.0095,0.0091,0.0095,
Table m_any_ptsd * f_any_sui,Row 2,0.0286,0.0018,0.0251,0.0321,0.0252,0.0323,
Table m_any_ptsd * f_any_sui,Total,0.0095,0.0001,0.0093,0.0097,0.0093,0.0097,
Table m_any_ptsd * f_any_sui,Difference,-0.0193,0.0018,-0.0228,-0.0158,_,_,1
Table m_any_som * f_any_adhd,Row 1,0.0183,0.0001,0.0180,0.0186,0.0180,0.0186,
Table m_any_som * f_any_adhd,Row 2,0.0328,0.0024,0.0281,0.0374,0.0282,0.0378,
Table m_any_som * f_any_adhd,Total,0.0184,0.0001,0.0181,0.0187,0.0181,0.0187,
Table m_any_som * f_any_adhd,Difference,-0.0145,0.0024,-0.0192,-0.0098,_,_,1
Table m_any_som * f_any_sub,Row 1,0.0513,0.0002,0.0509,0.0518,0.0509,0.0518,
Table m_any_som * f_any_sub,Row 2,0.0707,0.0034,0.0640,0.0775,0.0641,0.0778,
Table m_any_som * f_any_sub,Total,0.0515,0.0002,0.0510,0.0519,0.0510,0.0519,
Table m_any_som * f_any_sub,Difference,-0.0194,0.0034,-0.0261,-0.0126,_,_,1
Table m_any_som * f_any_dep,Row 1,0.3344,0.0005,0.3334,0.3354,0.3334,0.3354,
Table m_any_som * f_any_dep,Row 2,0.4114,0.0066,0.3984,0.4243,0.3984,0.4244,
Table m_any_som * f_any_dep,Total,0.3349,0.0005,0.3339,0.3359,0.3339,0.3359,
Table m_any_som * f_any_dep,Difference,-0.0770,0.0066,-0.0899,-0.0640,_,_,1
Table m_any_som * f_any_str,Row 1,0.3203,0.0005,0.3193,0.3213,0.3193,0.3213,
Table m_any_som * f_any_str,Row 2,0.3698,0.0065,0.3571,0.3825,0.3571,0.3827,
Table m_any_som * f_any_str,Total,0.3207,0.0005,0.3197,0.3217,0.3197,0.3217,
Table m_any_som * f_any_str,Difference,-0.0495,0.0065,-0.0622,-0.0367,_,_,1
Table m_any_som * f_any_anx,Row 1,0.1680,0.0004,0.1672,0.1688,0.1672,0.1688,
Table m_any_som * f_any_anx,Row 2,0.2208,0.0056,0.2099,0.2317,0.2100,0.2319,
Table m_any_som * f_any_anx,Total,0.1684,0.0004,0.1676,0.1692,0.1676,0.1692,
Table m_any_som * f_any_anx,Difference,-0.0528,0.0056,-0.0637,-0.0418,_,_,1
Table m_any_som * f_any_phb,Row 1,0.0340,0.0002,0.0337,0.0344,0.0337,0.0344,
Table m_any_som * f_any_phb,Row 2,0.0471,0.0028,0.0416,0.0527,0.0417,0.0531,
Table m_any_som * f_any_phb,Total,0.0341,0.0002,0.0337,0.0345,0.0337,0.0345,
Table m_any_som * f_any_phb,Difference,-0.0131,0.0029,-0.0187,-0.0075,_,_,1
Table m_any_som * f_any_ptsd,Row 1,0.0281,0.0002,0.0278,0.0285,0.0278,0.0285,
Table m_any_som * f_any_ptsd,Row 2,0.0434,0.0027,0.0380,0.0487,0.0382,0.0491,
Table m_any_som * f_any_ptsd,Total,0.0282,0.0002,0.0279,0.0286,0.0279,0.0286,
Table m_any_som * f_any_ptsd,Difference,-0.0152,0.0027,-0.0206,-0.0099,_,_,1
Table m_any_som * f_any_som,Row 1,0.0133,0.0001,0.0131,0.0135,0.0131,0.0135,
Table m_any_som * f_any_som,Row 2,0.0191,0.0018,0.0155,0.0227,0.0156,0.0230,
Table m_any_som * f_any_som,Total,0.0133,0.0001,0.0131,0.0136,0.0131,0.0136,
Table m_any_som * f_any_som,Difference,-0.0058,0.0018,-0.0094,-0.0022,_,_,1
Table m_any_som * f_any_psy,Row 1,0.0255,0.0002,0.0252,0.0259,0.0252,0.0259,
Table m_any_som * f_any_psy,Row 2,0.0435,0.0027,0.0382,0.0489,0.0383,0.0492,
Table m_any_som * f_any_psy,Total,0.0257,0.0002,0.0253,0.0260,0.0253,0.0260,
Table m_any_som * f_any_psy,Difference,-0.0180,0.0027,-0.0234,-0.0126,_,_,1
Table m_any_som * f_any_oth,Row 1,0.2557,0.0005,0.2548,0.2567,0.2548,0.2567,
Table m_any_som * f_any_oth,Row 2,0.3120,0.0062,0.2999,0.3242,0.2999,0.3244,
Table m_any_som * f_any_oth,Total,0.2561,0.0005,0.2552,0.2570,0.2552,0.2570,
Table m_any_som * f_any_oth,Difference,-0.0563,0.0062,-0.0685,-0.0441,_,_,1
Table m_any_som * f_any_slp,Row 1,0.2066,0.0004,0.2057,0.2075,0.2057,0.2075,
Table m_any_som * f_any_slp,Row 2,0.2415,0.0057,0.2302,0.2528,0.2303,0.2530,
Table m_any_som * f_any_slp,Total,0.2068,0.0004,0.2060,0.2077,0.2060,0.2077,
Table m_any_som * f_any_slp,Difference,-0.0349,0.0058,-0.0462,-0.0236,_,_,1
Table m_any_som * f_any_sex,Row 1,0.0030,0.0001,0.0029,0.0031,0.0029,0.0031,
Table m_any_som * f_any_sex,Row 2,0.0054,0.0010,0.0035,0.0073,0.0036,0.0077,
Table m_any_som * f_any_sex,Total,0.0030,0.0001,0.0029,0.0031,0.0029,0.0031,
Table m_any_som * f_any_sex,Difference,-0.0024,0.0010,-0.0044,-0.0005,_,_,1
Table m_any_som * f_any_per,Row 1,0.0141,0.0001,0.0139,0.0144,0.0139,0.0144,
Table m_any_som * f_any_per,Row 2,0.0277,0.0022,0.0234,0.0320,0.0236,0.0324,
Table m_any_som * f_any_per,Total,0.0142,0.0001,0.0140,0.0145,0.0140,0.0145,
Table m_any_som * f_any_per,Difference,-0.0136,0.0022,-0.0179,-0.0093,_,_,1
Table m_any_som * f_any_sui,Row 1,0.0094,0.0001,0.0092,0.0096,0.0092,0.0096,
Table m_any_som * f_any_sui,Row 2,0.0182,0.0018,0.0147,0.0217,0.0148,0.0220,
Table m_any_som * f_any_sui,Total,0.0095,0.0001,0.0093,0.0097,0.0093,0.0097,
Table m_any_som * f_any_sui,Difference,-0.0087,0.0018,-0.0123,-0.0052,_,_,1
Table m_any_psy * f_any_adhd,Row 1,0.0176,0.0001,0.0173,0.0179,0.0173,0.0179,
Table m_any_psy * f_any_adhd,Row 2,0.0560,0.0018,0.0524,0.0595,0.0525,0.0596,
Table m_any_psy * f_any_adhd,Total,0.0184,0.0001,0.0181,0.0187,0.0181,0.0187,
Table m_any_psy * f_any_adhd,Difference,-0.0383,0.0018,-0.0419,-0.0348,_,_,1
Table m_any_psy * f_any_sub,Row 1,0.0497,0.0002,0.0492,0.0501,0.0492,0.0501,
Table m_any_psy * f_any_sub,Row 2,0.1433,0.0027,0.1379,0.1487,0.1380,0.1488,
Table m_any_psy * f_any_sub,Total,0.0515,0.0002,0.0510,0.0519,0.0510,0.0519,
Table m_any_psy * f_any_sub,Difference,-0.0936,0.0028,-0.0990,-0.0882,_,_,1
Table m_any_psy * f_any_dep,Row 1,0.3316,0.0005,0.3306,0.3327,0.3306,0.3327,
Table m_any_psy * f_any_dep,Row 2,0.5004,0.0039,0.4927,0.5080,0.4927,0.5081,
Table m_any_psy * f_any_dep,Total,0.3349,0.0005,0.3339,0.3359,0.3339,0.3359,
Table m_any_psy * f_any_dep,Difference,-0.1687,0.0039,-0.1764,-0.1610,_,_,1
Table m_any_psy * f_any_str,Row 1,0.3185,0.0005,0.3175,0.3195,0.3175,0.3195,
Table m_any_psy * f_any_str,Row 2,0.4325,0.0039,0.4249,0.4401,0.4249,0.4402,
Table m_any_psy * f_any_str,Total,0.3207,0.0005,0.3197,0.3217,0.3197,0.3217,
Table m_any_psy * f_any_str,Difference,-0.1141,0.0039,-0.1217,-0.1064,_,_,1
Table m_any_psy * f_any_anx,Row 1,0.1660,0.0004,0.1652,0.1668,0.1652,0.1668,
Table m_any_psy * f_any_anx,Row 2,0.2891,0.0035,0.2822,0.2961,0.2822,0.2961,
Table m_any_psy * f_any_anx,Total,0.1684,0.0004,0.1676,0.1692,0.1676,0.1692,
Table m_any_psy * f_any_anx,Difference,-0.1231,0.0036,-0.1301,-0.1161,_,_,1
Table m_any_psy * f_any_phb,Row 1,0.0335,0.0002,0.0331,0.0339,0.0331,0.0339,
Table m_any_psy * f_any_phb,Row 2,0.0668,0.0020,0.0630,0.0706,0.0630,0.0707,
Table m_any_psy * f_any_phb,Total,0.0341,0.0002,0.0337,0.0345,0.0337,0.0345,
Table m_any_psy * f_any_phb,Difference,-0.0333,0.0020,-0.0372,-0.0295,_,_,1
Table m_any_psy * f_any_ptsd,Row 1,0.0274,0.0002,0.0271,0.0278,0.0271,0.0278,
Table m_any_psy * f_any_ptsd,Row 2,0.0684,0.0020,0.0645,0.0722,0.0646,0.0724,
Table m_any_psy * f_any_ptsd,Total,0.0282,0.0002,0.0279,0.0286,0.0279,0.0286,
Table m_any_psy * f_any_ptsd,Difference,-0.0409,0.0020,-0.0448,-0.0371,_,_,1
Table m_any_psy * f_any_som,Row 1,0.0131,0.0001,0.0129,0.0134,0.0129,0.0134,
Table m_any_psy * f_any_som,Row 2,0.0242,0.0012,0.0219,0.0266,0.0219,0.0267,
Table m_any_psy * f_any_som,Total,0.0133,0.0001,0.0131,0.0136,0.0131,0.0136,
Table m_any_psy * f_any_som,Difference,-0.0111,0.0012,-0.0135,-0.0087,_,_,1
Table m_any_psy * f_any_psy,Row 1,0.0244,0.0002,0.0240,0.0247,0.0240,0.0247,
Table m_any_psy * f_any_psy,Row 2,0.0911,0.0023,0.0867,0.0955,0.0867,0.0956,
Table m_any_psy * f_any_psy,Total,0.0257,0.0002,0.0253,0.0260,0.0253,0.0260,
Table m_any_psy * f_any_psy,Difference,-0.0667,0.0023,-0.0711,-0.0623,_,_,1
Table m_any_psy * f_any_oth,Row 1,0.2540,0.0005,0.2530,0.2549,0.2530,0.2549,
Table m_any_psy * f_any_oth,Row 2,0.3634,0.0038,0.3560,0.3707,0.3560,0.3708,
Table m_any_psy * f_any_oth,Total,0.2561,0.0005,0.2552,0.2570,0.2552,0.2570,
Table m_any_psy * f_any_oth,Difference,-0.1094,0.0038,-0.1168,-0.1019,_,_,1
Table m_any_psy * f_any_slp,Row 1,0.2050,0.0004,0.2041,0.2058,0.2041,0.2058,
Table m_any_psy * f_any_slp,Row 2,0.3020,0.0036,0.2949,0.3090,0.2949,0.3091,
Table m_any_psy * f_any_slp,Total,0.2068,0.0004,0.2060,0.2077,0.2060,0.2077,
Table m_any_psy * f_any_slp,Difference,-0.0970,0.0036,-0.1041,-0.0899,_,_,1
Table m_any_psy * f_any_sex,Row 1,0.0030,0.0001,0.0028,0.0031,0.0028,0.0031,
Table m_any_psy * f_any_sex,Row 2,0.0045,0.0005,0.0034,0.0055,0.0035,0.0056,
Table m_any_psy * f_any_sex,Total,0.0030,0.0001,0.0029,0.0031,0.0029,0.0031,
Table m_any_psy * f_any_sex,Difference,-0.0015,0.0005,-0.0025,-0.0005,_,_,1
Table m_any_psy * f_any_per,Row 1,0.0135,0.0001,0.0132,0.0137,0.0132,0.0137,
Table m_any_psy * f_any_per,Row 2,0.0511,0.0017,0.0478,0.0545,0.0478,0.0546,
Table m_any_psy * f_any_per,Total,0.0142,0.0001,0.0140,0.0145,0.0140,0.0145,
Table m_any_psy * f_any_per,Difference,-0.0376,0.0017,-0.0410,-0.0343,_,_,1
Table m_any_psy * f_any_sui,Row 1,0.0090,0.0001,0.0088,0.0092,0.0088,0.0092,
Table m_any_psy * f_any_sui,Row 2,0.0358,0.0015,0.0329,0.0386,0.0330,0.0387,
Table m_any_psy * f_any_sui,Total,0.0095,0.0001,0.0093,0.0097,0.0093,0.0097,
Table m_any_psy * f_any_sui,Difference,-0.0268,0.0015,-0.0297,-0.0240,_,_,1
Table m_any_oth * f_any_adhd,Row 1,0.0158,0.0001,0.0155,0.0161,0.0155,0.0161,
Table m_any_oth * f_any_adhd,Row 2,0.0340,0.0005,0.0329,0.0350,0.0330,0.0350,
Table m_any_oth * f_any_adhd,Total,0.0184,0.0001,0.0181,0.0187,0.0181,0.0187,
Table m_any_oth * f_any_adhd,Difference,-0.0181,0.0005,-0.0192,-0.0171,_,_,1
Table m_any_oth * f_any_sub,Row 1,0.0469,0.0002,0.0464,0.0474,0.0464,0.0474,
Table m_any_oth * f_any_sub,Row 2,0.0795,0.0008,0.0780,0.0811,0.0780,0.0811,
Table m_any_oth * f_any_sub,Total,0.0515,0.0002,0.0510,0.0519,0.0510,0.0519,
Table m_any_oth * f_any_sub,Difference,-0.0326,0.0008,-0.0342,-0.0310,_,_,1
Table m_any_oth * f_any_dep,Row 1,0.3182,0.0005,0.3171,0.3192,0.3171,0.3193,
Table m_any_oth * f_any_dep,Row 2,0.4381,0.0014,0.4353,0.4410,0.4353,0.4410,
Table m_any_oth * f_any_dep,Total,0.3349,0.0005,0.3339,0.3359,0.3339,0.3359,
Table m_any_oth * f_any_dep,Difference,-0.1200,0.0015,-0.1230,-0.1169,_,_,1
Table m_any_oth * f_any_str,Row 1,0.3080,0.0005,0.3069,0.3091,0.3069,0.3091,
Table m_any_oth * f_any_str,Row 2,0.3988,0.0014,0.3960,0.4016,0.3960,0.4016,
Table m_any_oth * f_any_str,Total,0.3207,0.0005,0.3197,0.3217,0.3197,0.3217,
Table m_any_oth * f_any_str,Difference,-0.0908,0.0015,-0.0938,-0.0878,_,_,1
Table m_any_oth * f_any_anx,Row 1,0.1579,0.0004,0.1571,0.1588,0.1571,0.1588,
Table m_any_oth * f_any_anx,Row 2,0.2329,0.0012,0.2305,0.2353,0.2305,0.2353,
Table m_any_oth * f_any_anx,Total,0.1684,0.0004,0.1676,0.1692,0.1676,0.1692,
Table m_any_oth * f_any_anx,Difference,-0.0749,0.0013,-0.0775,-0.0724,_,_,1
Table m_any_oth * f_any_phb,Row 1,0.0318,0.0002,0.0314,0.0322,0.0314,0.0322,
Table m_any_oth * f_any_phb,Row 2,0.0484,0.0006,0.0471,0.0496,0.0472,0.0496,
Table m_any_oth * f_any_phb,Total,0.0341,0.0002,0.0337,0.0345,0.0337,0.0345,
Table m_any_oth * f_any_phb,Difference,-0.0166,0.0007,-0.0178,-0.0153,_,_,1
Table m_any_oth * f_any_ptsd,Row 1,0.0248,0.0002,0.0245,0.0252,0.0245,0.0252,
Table m_any_oth * f_any_ptsd,Row 2,0.0492,0.0006,0.0480,0.0505,0.0480,0.0505,
Table m_any_oth * f_any_ptsd,Total,0.0282,0.0002,0.0279,0.0286,0.0279,0.0286,
Table m_any_oth * f_any_ptsd,Difference,-0.0244,0.0007,-0.0257,-0.0231,_,_,1
Table m_any_oth * f_any_som,Row 1,0.0125,0.0001,0.0122,0.0127,0.0122,0.0127,
Table m_any_oth * f_any_som,Row 2,0.0186,0.0004,0.0178,0.0194,0.0178,0.0194,
Table m_any_oth * f_any_som,Total,0.0133,0.0001,0.0131,0.0136,0.0131,0.0136,
Table m_any_oth * f_any_som,Difference,-0.0061,0.0004,-0.0069,-0.0053,_,_,1
Table m_any_oth * f_any_psy,Row 1,0.0225,0.0002,0.0222,0.0229,0.0222,0.0229,
Table m_any_oth * f_any_psy,Row 2,0.0449,0.0006,0.0437,0.0461,0.0437,0.0461,
Table m_any_oth * f_any_psy,Total,0.0257,0.0002,0.0253,0.0260,0.0253,0.0260,
Table m_any_oth * f_any_psy,Difference,-0.0224,0.0006,-0.0236,-0.0212,_,_,1
Table m_any_oth * f_any_oth,Row 1,0.2391,0.0005,0.2381,0.2401,0.2381,0.2401,
Table m_any_oth * f_any_oth,Row 2,0.3611,0.0014,0.3583,0.3638,0.3583,0.3638,
Table m_any_oth * f_any_oth,Total,0.2561,0.0005,0.2552,0.2570,0.2552,0.2570,
Table m_any_oth * f_any_oth,Difference,-0.1220,0.0015,-0.1249,-0.1191,_,_,1
Table m_any_oth * f_any_slp,Row 1,0.1983,0.0005,0.1974,0.1992,0.1974,0.1992,
Table m_any_oth * f_any_slp,Row 2,0.2596,0.0013,0.2571,0.2621,0.2571,0.2621,
